iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
KAZ,2019,11380986521.324022,1565403107.1343167,3.2800114,5134540036.995979,2315987342.4852743,318553560.8198247,11.445188,3645905391.6523275,0.13754546709999999
COK,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
HTI,2019,17356483.046810154,2274297.7792657367,0.46897322,1066584.7527811017,13790861.214934856,1807078.3666655684,1.6364231,2957144.7827218063,0.1310344828
PRT,2019,205280447.85738018,29042731.37263443,8.0961714,235134931.1170056,150948010.4986782,21355869.815680075,28.250574,603315580.5622363,0.1414783126
SHN,2019,NA,NA,6.349662612,NA,NA,NA,22.15634831,NA,0.23045807029999998
ASM,2019,NA,NA,4.4692931,NA,NA,NA,15.595037,NA,0.23045807029999998
COD,2019,4156202383.2981763,2826533774.2300324,0.19319944,546084742.3223287,2431261937.42016,1653443058.4356382,0.67414516,1114660635.1799827,0.6800760679
GAB,2019,358342344.7331544,218199831.7548991,2.5808206,563134620.7095778,232188642.0171808,141383019.25013855,9.0054502,1273217738.982764,0.60891445
RWA,2019,75985087.67357919,28207117.500885054,0.28094983,7924784.866663681,28736477.36286559,10667529.88452125,0.98033905,10457796.112838171,0.37121912160000003
CYP,2019,23185656.366154335,5343321.624782838,10.301902,55046375.732993565,9367773.362877242,2158878.9722164306,35.947193,77605639.07790567,0.23045807029999998
ABW,2019,193340.9906489128,44556.991614838786,10.785084,480550.8973533319,40601.77230842225,9357.006096958969,37.633198,352134.0631340641,0.23045807029999998
GIN,2019,411785795.1444631,109764250.05993879,0.35769981,39262651.391232595,257805369.8983809,68719740.75354743,1.2481486,85772448.21390316,0.2665566694
